City Name,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Manas,42.73,47.68,293.15,68,40,9.0,RU,1597449800
Mayskiy,47.69,40.1,284.15,76,15,3.0,RU,1597449802
Moose Factory,51.26,-80.61,301.15,45,1,3.1,CA,1597449803
Jacqueville,5.21,-4.41,297.15,100,20,3.6,CI,1597449804
Dakar,14.69,-17.44,301.15,83,40,1.0,SN,1597449310
Zaysan,47.47,84.87,290.03,53,70,2.55,KZ,1597449808
Rincon,32.3,-81.24,301.15,74,75,2.1,US,1597449809
Abhā,18.22,42.51,295.15,64,95,1.29,SA,1597449811
Amga,60.9,131.96,288.43,47,0,1.37,RU,1597449812
Nishihara,26.18,127.76,303.71,74,20,3.6,JP,1597449814
Suicheng,33.9,117.93,300.59,87,100,3.44,CN,1597449816
Guayabetal,4.21,-73.82,298.15,78,40,0.67,CO,1597449820
